,customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,7590-vhveg,female,0,yes,no,1,no,no phone service,dsl,no,yes,no,no,no,no,month-to-month,yes,electronic check,29.85,29.85,no
1,5575-gnvde,male,0,no,no,34,yes,no,dsl,yes,no,yes,no,no,no,one year,no,mailed check,56.95,1889.5,no
2,3668-qpybk,male,0,no,no,2,yes,no,dsl,yes,yes,no,no,no,no,month-to-month,yes,mailed check,53.85,108.15,yes
3,7795-cfocw,male,0,no,no,45,no,no phone service,dsl,yes,no,yes,yes,no,no,one year,no,bank transfer (automatic),42.3,1840.75,no
4,9237-hqitu,female,0,no,no,2,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,70.7,151.65,yes
5,9305-cdskc,female,0,no,no,8,yes,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic check,99.65,820.5,yes
6,1452-kiovk,male,0,no,yes,22,yes,yes,fiber optic,no,yes,no,no,yes,no,month-to-month,yes,credit card (automatic),89.1,1949.4,no
7,6713-okomc,female,0,no,no,10,no,no phone service,dsl,yes,no,no,no,no,no,month-to-month,no,mailed check,29.75,301.9,no
8,7892-pookp,female,0,yes,no,28,yes,yes,fiber optic,no,no,yes,yes,yes,yes,month-to-month,yes,electronic check,104.8,3046.05,yes
9,6388-tabgu,male,0,no,yes,62,yes,no,dsl,yes,yes,no,no,no,no,one year,no,bank transfer (automatic),56.15,3487.95,no
10,9763-grskd,male,0,yes,yes,13,yes,no,dsl,yes,no,no,no,no,no,month-to-month,yes,mailed check,49.95,587.45,no
11,7469-lkbci,male,0,no,no,16,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,no,credit card (automatic),18.95,326.8,no
12,8091-ttvax,male,0,yes,no,58,yes,yes,fiber optic,no,no,yes,no,yes,yes,one year,no,credit card (automatic),100.35,5681.1,no
13,0280-xjgex,male,0,no,no,49,yes,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,yes,bank transfer (automatic),103.7,5036.3,yes
14,5129-jlpis,male,0,no,no,25,yes,no,fiber optic,yes,no,yes,yes,yes,yes,month-to-month,yes,electronic check,105.5,2686.05,no
15,3655-snqyz,female,0,yes,yes,69,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,no,credit card (automatic),113.25,7895.15,no
16,8191-xwszg,female,0,no,no,52,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,no,mailed check,20.65,1022.95,no
17,9959-wofkt,male,0,no,yes,71,yes,yes,fiber optic,yes,no,yes,no,yes,yes,two year,no,bank transfer (automatic),106.7,7382.25,no
18,4190-mfluw,female,0,yes,yes,10,yes,no,dsl,no,no,yes,yes,no,no,month-to-month,no,credit card (automatic),55.2,528.35,yes
19,4183-myfrb,female,0,no,no,21,yes,no,fiber optic,no,yes,yes,no,no,yes,month-to-month,yes,electronic check,90.05,1862.9,no
